Date,Ticker,Close/Last,Open,High,Low,Volume
2025-07-31,BIIB,128.695,133.0,135.43,128.2,1448055
2025-08-04,BIIB,130.91,132.33,133.98,130.39,657564
2025-08-05,BIIB,133.03,131.91,133.58,131.565,236361
