Date,Close/Last,Volume,Open,High,Low
07/24/2025,$185.69,9049493,$186.42,$187.89,$185.0275
07/23/2025,$186.25,30755710,$194.895,$195.00,$185.29
07/22/2025,$214.92,11730830,$214.04,$216.00,$212.16
07/21/2025,$214.57,8269836,$217.44,$219.00,$214.21
07/18/2025,$216.62,4550290,$218.49,$218.65,$215.91
07/17/2025,$216.59,4920059,$216.14,$217.00,$215.49
07/16/2025,$216.64,6421343,$218.40,$218.61,$211.7118
07/15/2025,$218.36,4419726,$220.77,$221.40,$217.97
07/14/2025,$220.05,4723854,$219.41,$220.255,$217.30
07/11/2025,$221.25,5396299,$219.75,$221.69,$218.22
07/10/2025,$219.66,3971610,$219.28,$220.78,$217.56
07/09/2025,$216.39,5231670,$216.94,$218.90,$215.195
07/08/2025,$216.63,6844969,$215.00,$219.37,$214.02
07/07/2025,$213.41,5221449,$215.02,$215.63,$212.20
07/03/2025,$216.02,2561140,$215.25,$216.94,$214.721
07/02/2025,$215.59,5533390,$210.44,$216.18,$209.48
07/01/2025,$210.45,5856189,$207.00,$211.675,$206.49
06/30/2025,$207.62,5319862,$207.085,$208.38,$206.44
06/27/2025,$207.08,8585128,$205.50,$207.69,$205.29
06/26/2025,$206.31,4579173,$206.31,$207.315,$205.77
06/25/2025,$205.38,4748270,$206.03,$206.42,$203.31
06/24/2025,$205.81,7597783,$203.23,$206.20,$203.00
06/23/2025,$201.39,4565367,$199.00,$201.83,$198.36
06/20/2025,$198.20,12910020,$200.405,$200.93,$196.575
06/18/2025,$198.35,3742424,$198.60,$200.57,$197.29
06/17/2025,$197.69,4656284,$198.00,$200.6168,$196.8775
06/16/2025,$199.22,5864464,$197.275,$199.86,$196.60
06/13/2025,$195.00,5138338,$196.09,$199.04,$194.465
06/12/2025,$199.66,3257625,$198.25,$200.315,$198.11
06/11/2025,$199.69,5062131,$203.31,$203.35,$198.15
06/10/2025,$202.29,6247697,$199.98,$203.17,$199.48
06/09/2025,$199.21,6869729,$193.74,$200.43,$193.465
06/06/2025,$192.42,5338876,$193.69,$194.84,$192.26
06/05/2025,$190.49,6017844,$192.91,$194.285,$189.32
