Date,Close/Last,Volume,Open,High,Low
07/24/2025,$149.30,4860918,$150.00,$151.295,$147.81
07/23/2025,$150.82,4976704,$151.92,$152.65,$149.8001
07/22/2025,$151.20,4927882,$152.98,$154.0614,$150.315
07/21/2025,$152.82,5194358,$152.25,$153.65,$149.34
07/18/2025,$153.23,11701860,$162.54,$164.15,$150.25
07/17/2025,$159.04,5024180,$157.26,$159.47,$156.788
07/16/2025,$157.56,3194822,$157.62,$157.68,$154.85
07/15/2025,$156.59,3059003,$157.91,$158.28,$156.03
07/14/2025,$157.91,2961358,$155.59,$158.11,$154.92
07/11/2025,$155.84,2401730,$156.05,$156.55,$154.82
07/10/2025,$157.32,4043673,$156.11,$159.47,$155.96
07/09/2025,$155.98,2855896,$154.38,$156.65,$153.84
07/08/2025,$153.74,3252326,$151.73,$154.615,$151.53
07/07/2025,$151.84,3877072,$152.80,$154.47,$150.95
07/03/2025,$152.94,3182854,$154.25,$155.00,$149.50
07/02/2025,$153.97,2864794,$154.21,$155.45,$153.205
07/01/2025,$153.81,3781853,$152.00,$156.09,$151.42
06/30/2025,$152.24,2302814,$152.28,$152.46,$151.00
06/27/2025,$152.02,3938243,$151.14,$152.87,$150.56
06/26/2025,$150.76,2740127,$147.69,$151.11,$147.31
06/25/2025,$147.75,2378028,$149.70,$149.86,$147.12
06/24/2025,$149.87,2700714,$148.64,$150.29,$148.01
06/23/2025,$147.60,2904945,$144.39,$147.72,$143.35
06/20/2025,$144.03,5566663,$143.305,$144.05,$141.8227
06/18/2025,$142.51,2629280,$142.13,$143.67,$141.57
06/17/2025,$142.21,1740276,$144.06,$144.88,$141.97
06/16/2025,$145.07,1681261,$143.68,$145.39,$143.505
06/13/2025,$142.32,2450815,$143.13,$144.45,$141.73
06/12/2025,$144.77,2069727,$146.42,$147.27,$144.49
06/11/2025,$147.18,2904370,$145.045,$148.05,$144.42
06/10/2025,$145.06,3129377,$144.24,$145.31,$143.15
06/09/2025,$144.23,3402198,$145.55,$146.03,$142.67
06/06/2025,$145.50,2297132,$148.00,$148.46,$145.44
06/05/2025,$146.26,3568399,$147.04,$147.265,$144.89
06/04/2025,$146.81,2347013,$148.91,$148.95,$146.71
06/03/2025,$148.13,2343553,$146.31,$148.36,$145.21
06/02/2025,$146.40,2825788,$147.87,$148.30,$143.91
05/30/2025,$148.35,5339916,$148.73,$149.45,$147.60
05/29/2025,$149.63,2621435,$149.87,$150.36,$148.18
05/28/2025,$148.66,2297543,$149.65,$150.00,$148.19
05/27/2025,$149.49,3155330,$150.00,$150.00,$146.66
05/23/2025,$147.62,2369839,$147.45,$148.69,$147.01
05/22/2025,$149.78,2862958,$149.72,$150.57,$147.675
05/21/2025,$149.40,2661991,$152.32,$153.1663,$149.33
05/20/2025,$154.15,2529654,$153.255,$154.73,$153.25
05/19/2025,$154.14,2613827,$151.95,$154.26,$151.1127
05/16/2025,$153.11,4204464,$149.43,$153.28,$148.95
05/15/2025,$148.74,4472277,$146.33,$149.175,$145.3644
05/14/2025,$147.88,3778749,$150.75,$150.77,$146.96
05/13/2025,$150.74,3455821,$150.81,$151.75,$150.17
05/12/2025,$150.33,4974974,$146.09,$150.82,$145.27
05/09/2025,$142.60,2634204,$141.265,$142.62,$140.955
05/08/2025,$141.12,2899639,$140.00,$142.36,$139.205
05/07/2025,$138.64,2555638,$138.27,$139.79,$137.70
05/06/2025,$138.02,2850177,$139.13,$139.71,$137.6304
05/05/2025,$140.80,2623610,$140.62,$141.87,$139.8701
05/02/2025,$142.08,2734157,$140.00,$143.04,$139.2942
05/01/2025,$137.90,2236251,$138.28,$140.25,$137.6661
04/30/2025,$138.91,3062996,$137.63,$139.31,$134.85
04/29/2025,$138.38,1917297,$137.50,$139.22,$136.84
04/28/2025,$137.93,2500025,$137.32,$138.41,$136.04
04/25/2025,$137.32,2141381,$139.00,$139.00,$137.105
04/24/2025,$138.88,2921145,$135.64,$139.765,$135.1176
04/23/2025,$136.06,4655834,$139.38,$142.15,$135.2031
04/22/2025,$136.33,7943810,$133.285,$137.272,$130.36
04/21/2025,$126.09,5971823,$129.00,$129.84,$124.65
04/17/2025,$130.21,4952015,$130.34,$132.95,$130.08
04/16/2025,$130.46,5635829,$133.51,$134.4799,$129.8675
04/15/2025,$135.26,2541840,$136.01,$137.4708,$135.14
04/14/2025,$136.01,3815806,$138.11,$138.29,$134.43
04/11/2025,$135.95,3337840,$133.13,$136.485,$131.6608
04/10/2025,$132.97,4757145,$135.75,$135.785,$128.68
04/09/2025,$138.32,6428141,$125.00,$139.23,$123.4443
04/08/2025,$127.16,5497234,$132.24,$133.87,$124.82
04/07/2025,$128.55,7174970,$124.73,$134.37,$121.9771
04/04/2025,$126.91,9609106,$134.19,$135.3122,$126.43
04/03/2025,$139.74,6712325,$142.84,$144.49,$138.855
