Date,Close/Last,Volume,Open,High,Low
04/24/2025,$150.17,7609178,$147.61,$150.40,$145.35
04/23/2025,$143.58,7994300,$144.845,$147.83,$142.74
04/22/2025,$138.30,5222697,$137.18,$139.08,$136.32
04/21/2025,$135.555,8395304,$135.13,$136.015,$132.80
04/17/2025,$137.46,6494838,$138.99,$139.65,$136.94
04/16/2025,$138.19,9279103,$137.82,$141.08,$134.35
04/15/2025,$145.45,5259919,$144.97,$147.045,$144.24
04/14/2025,$144.53,6835897,$146.88,$147.70,$142.14
04/11/2025,$144.94,10617190,$138.57,$146.23,$135.50
04/10/2025,$138.24,16290730,$142.23,$143.805,$133.49
04/09/2025,$149.73,20667250,$129.58,$150.9641,$128.60
04/08/2025,$128.96,16423700,$138.405,$140.70,$127.50
04/07/2025,$132.85,18941910,$124.97,$141.57,$123.7365
04/04/2025,$126.95,15563960,$129.11,$132.46,$123.94
04/03/2025,$135.51,11779640,$141.00,$141.87,$135.40
04/02/2025,$147.75,4904772,$144.03,$149.31,$143.84
04/01/2025,$145.66,5869458,$144.10,$146.11,$141.80
03/31/2025,$145.12,7116271,$142.772,$145.68,$141.16
03/28/2025,$145.06,7714957,$148.80,$149.80,$144.12
03/27/2025,$147.68,6933790,$149.83,$149.9024,$146.94
03/26/2025,$150.68,4853836,$153.14,$153.99,$149.51
03/25/2025,$153.64,5093720,$154.84,$154.95,$152.52
03/24/2025,$154.95,5855208,$155.50,$156.27,$154.60
03/21/2025,$152.12,15911330,$150.294,$152.19,$149.01
03/20/2025,$154.38,5480259,$152.225,$155.615,$151.68
03/19/2025,$154.46,4426507,$153.18,$157.075,$152.79
03/18/2025,$153.51,4282336,$154.32,$154.94,$151.81
03/17/2025,$155.46,4764341,$152.95,$157.21,$152.84
03/14/2025,$155.66,5138783,$152.13,$156.5007,$152.13
03/13/2025,$149.95,5702173,$148.89,$153.0588,$148.37
03/12/2025,$149.06,8482229,$151.72,$151.72,$148.44
03/11/2025,$146.99,7739928,$148.97,$150.5106,$145.37
03/10/2025,$149.99,8008387,$152.42,$154.45,$147.88
03/07/2025,$155.68,5537838,$151.46,$156.3474,$150.19
03/06/2025,$151.54,6967778,$151.54,$154.05,$149.605
03/05/2025,$155.32,5859954,$153.135,$155.87,$150.00
03/04/2025,$152.87,8538627,$153.06,$156.23,$149.55
03/03/2025,$152.13,9259111,$159.73,$160.32,$150.67
02/28/2025,$158.07,9427575,$157.29,$160.05,$153.9513
02/27/2025,$156.64,9543635,$170.25,$170.57,$156.375
02/26/2025,$168.51,5048546,$167.38,$170.25,$166.42
02/25/2025,$165.54,8570278,$168.12,$169.68,$164.45
02/24/2025,$168.57,7126206,$173.77,$175.23,$168.34
02/21/2025,$171.98,7365350,$176.13,$176.25,$170.60
02/20/2025,$176.01,6687264,$175.14,$178.37,$174.50
02/19/2025,$174.06,5797047,$172.305,$174.90,$171.13
02/18/2025,$172.00,10704880,$171.79,$173.76,$169.10
02/14/2025,$169.20,12452810,$174.84,$176.00,$168.61
02/13/2025,$184.27,10302000,$180.31,$184.5175,$179.62
02/12/2025,$180.89,6640831,$179.42,$181.53,$178.29
02/11/2025,$183.20,3913262,$181.795,$183.58,$181.09
02/10/2025,$183.66,5744135,$182.86,$184.03,$181.42
02/07/2025,$180.00,4991954,$183.14,$183.54,$178.73
02/06/2025,$182.80,4479079,$179.61,$183.08,$178.56
02/05/2025,$180.67,3959496,$176.73,$181.01,$175.28
02/04/2025,$178.56,4687114,$175.47,$179.30,$175.45
02/03/2025,$178.80,5321278,$175.32,$180.25,$174.24
01/31/2025,$180.35,5902833,$182.585,$186.44,$180.0612
01/30/2025,$181.72,6013770,$179.395,$183.27,$177.46
01/29/2025,$175.28,5679925,$180.00,$180.21,$173.78
01/28/2025,$172.85,7360510,$173.75,$174.83,$170.00
01/27/2025,$174.57,12150240,$179.55,$179.56,$170.4201
01/24/2025,$186.75,6088398,$190.89,$191.275,$185.61
01/23/2025,$190.70,6307345,$190.13,$191.20,$187.79
01/22/2025,$195.51,7288595,$196.825,$200.55,$195.325
01/21/2025,$192.87,7959064,$194.74,$195.22,$190.82
01/17/2025,$192.05,8115101,$193.00,$193.16,$188.79
01/16/2025,$186.48,10825450,$185.80,$191.71,$183.01
01/15/2025,$178.38,5908559,$176.75,$179.51,$175.88
01/14/2025,$173.65,3842111,$171.86,$173.70,$170.315
01/13/2025,$170.86,5465785,$169.10,$171.61,$167.73
01/10/2025,$171.65,6325342,$174.72,$174.72,$169.505
01/08/2025,$176.99,4581723,$177.75,$178.17,$174.84
01/07/2025,$177.82,7332112,$180.07,$181.84,$176.3967
01/06/2025,$177.48,8475462,$174.975,$180.375,$174.86
01/03/2025,$170.06,5721416,$165.38,$170.42,$164.77
01/02/2025,$163.87,4169023,$164.47,$166.71,$162.83
12/31/2024,$162.63,3565535,$164.43,$165.18,$161.97
12/30/2024,$163.64,4763085,$164.00,$164.97,$161.97
12/27/2024,$166.83,3599555,$166.15,$167.20,$164.63
12/26/2024,$167.55,2796316,$167.35,$168.8499,$166.75
12/24/2024,$168.37,2595759,$167.43,$168.72,$166.90
12/23/2024,$167.46,5040203,$164.77,$167.69,$164.165
12/20/2024,$163.59,15336720,$159.98,$164.73,$158.958
12/19/2024,$161.44,9252641,$162.785,$165.24,$161.03
12/18/2024,$165.45,9000741,$170.94,$174.43,$164.55
12/17/2024,$170.34,6817636,$169.00,$170.75,$168.37
12/16/2024,$169.41,6643007,$170.035,$171.74,$168.85
12/13/2024,$169.35,7051664,$169.095,$171.53,$167.77
12/12/2024,$169.08,6108503,$169.70,$170.11,$166.81
12/11/2024,$171.13,6698595,$169.73,$173.20,$169.485
12/10/2024,$168.17,8230865,$173.50,$173.88,$167.44
12/09/2024,$171.86,7647077,$171.97,$174.50,$170.21
12/06/2024,$173.02,6058479,$172.16,$173.32,$171.35
12/05/2024,$172.03,8663758,$176.54,$179.42,$170.55
12/04/2024,$181.16,5819763,$185.34,$185.70,$180.45
12/03/2024,$183.16,5939932,$181.21,$183.26,$180.80
12/02/2024,$183.265,9100590,$175.48,$184.27,$174.71
11/29/2024,$174.71,5944388,$176.38,$178.43,$174.26
11/27/2024,$171.32,4348730,$173.20,$173.34,$168.7604
11/26/2024,$173.20,6517076,$175.34,$175.485,$170.93
11/25/2024,$174.55,8926467,$176.71,$177.19,$171.9326
11/22/2024,$174.88,4242578,$175.12,$176.08,$173.38
11/21/2024,$175.75,8917431,$171.22,$177.07,$171.0501
11/20/2024,$170.49,6197305,$169.31,$170.525,$167.06
11/19/2024,$169.31,8651084,$168.34,$169.96,$167.49
11/18/2024,$170.73,8331082,$167.68,$171.67,$166.8501
11/15/2024,$168.88,16287480,$168.335,$174.07,$167.33
11/14/2024,$186.00,11747400,$186.775,$187.615,$185.09
11/13/2024,$182.79,8634649,$184.07,$185.48,$182.52
11/12/2024,$186.61,5478424,$188.71,$189.75,$184.4704
11/11/2024,$188.56,5475193,$192.31,$193.20,$186.46
11/08/2024,$192.03,4767343,$192.29,$194.10,$191.265
11/07/2024,$194.09,5274709,$190.96,$194.33,$190.96
11/06/2024,$187.52,6393318,$188.96,$189.38,$184.75
11/05/2024,$186.48,4053013,$183.30,$186.75,$183.10
11/04/2024,$181.82,3857564,$183.20,$183.86,$180.46
11/01/2024,$183.38,6318878,$181.83,$185.47,$181.22
10/31/2024,$181.58,7307475,$185.21,$185.21,$179.28
10/30/2024,$185.30,5851339,$187.00,$188.19,$184.70
10/29/2024,$190.12,6007375,$185.34,$191.53,$184.651
10/28/2024,$185.34,4101018,$186.52,$187.64,$184.41
10/25/2024,$186.52,4794657,$186.49,$189.1999,$186.17
10/24/2024,$183.75,6122134,$186.88,$187.80,$183.23
10/23/2024,$182.70,6015230,$181.95,$183.74,$179.79
10/22/2024,$183.00,6753600,$184.60,$185.28,$182.57
10/21/2024,$184.46,4918119,$186.16,$186.71,$184.10
10/18/2024,$186.36,5758553,$186.28,$186.79,$184.64
10/17/2024,$183.24,9727114,$190.00,$190.80,$183.00
10/16/2024,$184.59,10972550,$193.22,$193.22,$183.90
10/15/2024,$191.02,16613190,$213.68,$215.70,$189.565
10/14/2024,$213.89,5239260,$206.96,$214.25,$206.96
10/11/2024,$205.06,2604134,$202.14,$207.2299,$202.14
10/10/2024,$203.96,3796758,$201.02,$204.25,$199.95
10/09/2024,$205.06,4141557,$201.40,$205.59,$200.63
10/08/2024,$200.88,3616136,$200.13,$202.5475,$198.67
10/07/2024,$200.13,3711131,$199.38,$201.59,$198.229
10/04/2024,$201.97,4134027,$204.62,$204.92,$199.505
10/03/2024,$199.59,3813269,$197.71,$203.125,$197.71
10/02/2024,$201.15,5536564,$197.83,$204.51,$196.74
10/01/2024,$197.20,6930055,$203.41,$204.06,$193.64
