Date,Close/Last,Volume,Open,High,Low
07/24/2025,$118.12,6586395,$119.36,$120.25,$117.82
07/23/2025,$118.63,13090710,$118.40,$119.65,$113.95
07/22/2025,$120.20,10629510,$123.515,$124.20,$118.60
07/21/2025,$124.50,9627982,$123.7506,$127.99,$121.5501
07/18/2025,$124.50,8544772,$122.88,$124.60,$121.35
07/17/2025,$122.17,9859545,$118.89,$123.33,$118.31
07/16/2025,$119.02,15284120,$112.40,$120.16,$112.23
07/15/2025,$112.48,8105905,$110.61,$113.07,$110.21
07/14/2025,$111.83,8032345,$106.35,$111.96,$106.35
07/11/2025,$105.69,4544477,$104.95,$108.10,$104.81
07/10/2025,$105.03,5640419,$106.90,$107.37,$102.73
07/09/2025,$106.68,5102393,$105.475,$106.71,$104.3024
07/08/2025,$104.94,5961962,$106.485,$106.85,$103.22
07/07/2025,$107.76,8510546,$102.92,$108.00,$102.25
07/03/2025,$103.59,3215401,$102.41,$104.32,$102.32
07/02/2025,$102.40,9560949,$100.58,$103.88,$100.00
07/01/2025,$100.65,9733393,$104.61,$105.28,$100.06
06/30/2025,$105.20,8945928,$105.79,$106.17,$103.055
06/27/2025,$105.59,11053920,$105.00,$105.87,$103.69
06/26/2025,$105.00,6697291,$103.335,$105.80,$102.55
06/25/2025,$102.84,6601669,$104.99,$105.30,$102.735
06/24/2025,$104.78,5517168,$104.23,$105.22,$103.06
06/23/2025,$103.49,6742507,$101.98,$104.63,$101.33
06/20/2025,$102.09,9958661,$103.20,$103.57,$100.9014
06/18/2025,$102.65,8863310,$101.75,$103.03,$101.75
06/17/2025,$101.12,7433287,$100.42,$101.45,$100.04
06/16/2025,$100.44,9324946,$98.34,$100.76,$98.02
06/13/2025,$97.17,9216140,$93.80,$97.58,$93.73
06/12/2025,$95.11,8674421,$96.19,$98.15,$94.59
06/11/2025,$96.17,6621093,$93.73,$96.45,$93.67
06/10/2025,$93.72,7740074,$92.99,$94.7899,$91.65
06/09/2025,$93.42,11066780,$94.24,$94.885,$91.81
06/06/2025,$95.80,14102160,$94.83,$96.28,$94.60
06/05/2025,$94.20,14590750,$92.00,$94.21,$91.15
06/04/2025,$91.07,6569088,$89.61,$91.68,$89.61
06/03/2025,$89.95,5871661,$90.20,$90.41,$88.75
06/02/2025,$89.95,10060620,$87.20,$90.00,$87.18
05/30/2025,$86.98,14088930,$85.80,$87.16,$84.415
05/29/2025,$84.79,4666005,$85.035,$85.32,$83.7433
05/28/2025,$84.64,5682760,$85.06,$85.98,$84.58
05/27/2025,$85.43,8085516,$83.20,$85.465,$83.00
05/23/2025,$82.26,4579050,$80.50,$82.96,$80.13
05/22/2025,$81.81,6929543,$81.10,$82.94,$81.03
05/21/2025,$81.16,6541817,$81.05,$83.04,$80.60
05/20/2025,$81.71,9476160,$81.67,$81.90,$80.06
05/19/2025,$81.21,7479837,$79.13,$81.9659,$78.66
05/16/2025,$81.27,9291942,$80.43,$82.02,$80.43
05/15/2025,$80.77,11137500,$79.74,$80.90,$78.69
05/14/2025,$79.45,10788040,$77.40,$79.50,$77.26
05/13/2025,$77.02,12375790,$73.93,$77.24,$73.38
05/12/2025,$73.49,8716355,$73.01,$74.60,$70.96
05/09/2025,$71.88,7287080,$70.21,$72.47,$70.17
05/08/2025,$70.05,4736762,$70.87,$71.61,$69.88
05/07/2025,$70.44,5416226,$71.03,$71.865,$70.09
05/06/2025,$70.77,10523080,$70.00,$71.58,$68.55
05/05/2025,$71.82,11736360,$71.98,$72.95,$71.27
05/02/2025,$74.09,15015560,$71.38,$74.24,$71.20
05/01/2025,$69.00,21650110,$70.11,$71.60,$66.50
04/30/2025,$67.05,10361310,$63.945,$67.07,$63.50
04/29/2025,$66.40,8248182,$66.43,$66.84,$65.54
04/28/2025,$66.43,5738302,$66.38,$67.0999,$65.65
04/25/2025,$66.58,4441564,$65.555,$66.8999,$65.42
04/24/2025,$65.69,7671804,$62.79,$65.99,$62.79
04/23/2025,$63.48,6948960,$64.075,$64.63,$62.65
04/22/2025,$62.15,6128147,$60.63,$62.72,$60.605
04/21/2025,$59.91,5899827,$59.60,$60.56,$58.73
04/17/2025,$59.71,5119353,$59.30,$60.63,$58.9078
04/16/2025,$59.09,6835107,$58.12,$60.00,$57.86
04/15/2025,$58.88,6082894,$57.20,$59.90,$57.16
04/14/2025,$56.91,4406139,$58.48,$58.80,$56.0308
04/11/2025,$57.26,5989287,$55.215,$57.73,$55.20
04/10/2025,$56.12,7466406,$57.11,$57.125,$54.14
04/09/2025,$57.31,9857280,$51.175,$57.395,$50.84
04/08/2025,$51.22,5377599,$54.51,$55.24,$50.2801
